group	code
0	s0,129,m0,16,m1,30,m2,64
0	s0,96,m0,19,m1,35,m2,89
0	s0,60,s1,27,m1,8,m2,144
0	s0,144,m0,6,m1,89
0	s0,46,m0,20,m1,22,m2,36,m3,34,m4,81
0	s0,74,c0,2,m0,159,m1,4
0	s0,43,m0,47,m2,6,s2,14,s3,129
0	s0,38,m0,6,m1,106,m2,89
0	s0,48,m0,5,m1,42,m2,21,s2,123
0	s0,84,m0,23,m1,55,m2,77
0	s0,46,m0,28,m1,70,m2,95
0	s0,239
0	s0,167,s2,23,s3,1,m3,48
0	s0,52,m0,8,m1,54,m2,125
0	s0,104,m0,41,m1,57,m2,37
0	s0,100,m0,25,m1,114
0	s0,80,c0,3,m0,16,m1,126,m2,14
0	s0,95,m0,16,m1,28,m2,78,m3,22
0	s0,179,m0,60
0	s0,82,m0,53,m1,24,m2,80
0	s0,113,s1,12,m1,3,m2,111
0	s0,68,m0,11,m1,65,m2,95
0	s0,121,m0,13,m1,80,m2,25
0	s0,182,m0,38,m1,3,s1,16
0	s0,191,m0,43,m1,5
0	s0,102,m0,7,m1,46,m2,84
0	s0,99,m0,20,m1,66,m2,54
0	s0,108,m0,52,m1,79
0	s0,182,m0,10,m1,38,m2,9
0	s0,128,m0,56,m1,40,m2,15
0	s0,69,m0,6,m1,103,m2,61
0	s0,109,s1,22,c1,103,s1,5
0	s0,167,m0,11,m1,36,m2,25
0	s0,239
0	s0,131,m1,108
0	s0,80,m0,57,s0,1,c0,6,m0,6,m1,89
0	s0,112,m0,15,m1,52,m2,60
0	s0,56,m0,41,m1,75,m2,67
0	s0,125,c0,2,c1,10,m1,100,s1,2
0	s0,131,m0,26,m1,82
0	s0,46,m0,6,m1,51,m2,115,m3,21
0	s0,136,m0,16,m1,24,m2,63
0	s0,70,m0,11,m1,45,m2,113
0	s0,11,m0,34,m1,194
0	s0,239
0	s0,123,m0,5,m1,94,m2,17
0	s0,64,m0,20,m1,155
0	s0,118,m0,21,m1,31,m2,25,m3,44
0	s0,118,m0,28,m1,23,m2,70
0	s0,93,c0,2,m0,18,m1,50,m2,76
0	s0,239
0	s0,103,m0,13,m1,45,m2,78
0	s0,239
0	s0,73,m0,17,m1,81,m2,68
0	s0,98,m0,23,m1,58,s1,56,c1,4
0	s0,200,c0,4,m0,23,m1,12
0	s0,132,c0,1,m0,45,m1,54,m2,7
0	s0,155,m0,84
0	s0,120,m0,67,m1,35,m2,17
0	s0,92,m0,11,m2,46,m3,90
0	s0,102,m0,21,m1,116
0	s0,239
0	s0,84,c0,155
0	s0,138,m0,29,m1,72
0	s0,69,m0,5,m1,47,m2,44,m3,74
0	s0,119,m0,7,m1,113
0	s0,239
0	s0,239
0	s0,50,c0,4,c1,4,m1,48,m2,133
0	s0,71,c0,2,m0,4,m1,162
0	s0,73,s1,13,m1,153
0	s0,104,s1,19,m1,19,m2,97
0	s0,63,m0,10,m1,35,m2,131
0	s0,77,s1,19,c1,1,m1,16,m2,126
0	s0,129,c0,2,m0,50,m1,58
0	s0,239
0	s0,14,c1,87,s1,138
0	s0,82,m0,77,m1,71,m2,9
0	s0,34,s1,34,s2,161,c2,10
0	s0,79,m0,13,m1,21,m2,126
0	s0,43,m0,9,m1,13,m2,40,m3,51,m4,83
0	s0,127,m0,79,m1,33
0	s0,85,m0,56,m1,56,m2,42
0	s0,51,m0,15,m1,49,m2,124
0	s0,95,m0,8,m1,38,m2,98
0	s0,50,m0,11,m1,168,s1,10
0	s0,120,m0,36,m1,83
0	s0,149,m0,9,m1,60,m2,21
0	s0,89,s1,4,m1,14,s1,132
0	s0,159,m0,11,m1,54,m2,15
0	s0,128,m0,8,m1,18,m2,80,m3,5
0	s0,209,m0,17,m1,13
0	s0,121,m0,36,m1,82
0	s0,75,m0,12,m1,79,m2,73
0	s0,53,m0,154,m1,32
0	s0,80,m0,12,m1,48,m2,99
0	s0,103,m0,8,m1,38,m2,90
0	s0,85,m0,49,m1,83,s1,22
0	s0,110,m0,29,m1,47,m2,53
0	s0,111,m0,17,m1,111
0	s0,100,m0,6,m1,62,m2,71
0	s0,111,m0,6,m1,29,m2,93
0	s0,239
0	s0,131,m0,10,m1,61,s1,7,c1,19,m1,11
0	s0,239
0	s0,135,m0,4,m1,100
0	s0,123,m0,10,m1,13,m2,48,s2,45
0	s0,125,m0,7,m1,48,m2,59
0	s0,176,m0,18,m1,19,m2,12,m4,14
0	s0,114,s1,121,m1,4
0	s0,43,s1,40,m1,6,m2,28,m3,122
0	s0,160,m0,28,m1,51
0	s0,107,m0,13,m2,59,m3,60
0	s0,194,m0,11,m1,2,m2,32
0	s0,77,m0,12,m1,73,s1,77
0	s0,110,m0,6,m1,37,m2,20,m3,66
0	s0,47,s1,45,m1,9,m2,138
0	s0,239
0	s0,133,m0,30,m1,14,m2,62
0	s0,181,m0,58
0	s0,102,m0,11,m1,18,m2,108
0	s0,166,m0,8,m1,65
0	s0,174,m0,3,m1,50,m2,12
0	s0,88,m0,11,m1,20,m2,15,m3,67,m4,38
0	s0,41,m0,8,m1,79,m2,92,m3,19
0	s0,69,s1,31,s2,126,s3,13
0	s0,136,m0,4,m1,35,m2,49,m3,15
0	s0,239
0	s0,43,m0,5,m1,26,m2,7,m3,26,m4,132
0	s0,179,c0,14,m0,9,m1,37
0	s0,126,s1,9,c1,42,m1,7,m2,32,m3,23
0	s0,239
0	s0,235,c0,4
0	s0,50,c0,29,s0,21,c0,13,m0,45,m1,81
0	s0,101,m0,138
0	s0,97,m0,20,m1,35,m2,64,m3,23
0	s0,131,m0,11,m1,78,m2,19
0	s0,236,m0,3
0	s0,239
0	s0,122,m0,117
0	s0,96,c0,6,m0,12,m1,32,m2,93
0	s0,76,m0,4,m1,10,m2,12,m3,52,m4,85
0	s0,239
0	s0,66,m0,10,m1,163
0	s0,134,m0,12,m1,50,s1,43
0	s0,40,m0,16,s0,4,s1,91,c1,10,m1,8,m2,70
0	s0,82,m0,15,m1,142
0	s0,161,s2,11,s3,67
0	s0,187,s1,52
0	s0,192,m0,4,m1,43
0	s0,102,m0,20,m1,20,m2,97
0	s0,134,c0,5,m0,3,m1,41,m2,56
0	s0,124,m0,11,m1,40,m2,64
0	s0,93,m0,8,m1,138
0	s0,89,m0,5,m1,21,m2,124
0	s0,91,m0,13,m1,39,m2,75,m3,21
0	s0,239
0	s0,83,m0,43,m1,38,m2,75
0	s0,239
0	s0,124,c0,2,m0,54,m1,59
0	s0,98,m0,71,m1,26,m2,44
0	s0,239
0	s0,76,m0,15,m1,68,m2,80
0	s0,85,s1,2,m1,152
0	s0,56,m0,17,m1,74,s1,76,m1,16
0	s0,107,c0,1,m0,29,m1,102
0	s0,73,s1,13,m1,55,m2,98
0	s0,166,m0,6,m1,41,m2,26
0	s0,63,m0,31,m1,145
0	s0,93,m0,15,m1,37,m2,53,m3,41
0	s0,117,m0,40,m1,82
0	s0,124,m0,51,m1,64
0	s0,73,m0,28,m1,67,m2,71
0	s0,134,m0,105
0	s0,58,s1,1,m1,21,m2,159
0	s0,77,m0,8,m1,84,m2,70
0	s0,71,m0,25,m1,30,m2,113
0	s0,170,c1,69
0	s0,122,m0,5,m1,96,s1,16
0	s0,68,m0,16,m1,155
0	s0,89,m0,64,m1,86
0	s0,118,m0,30,m1,91
0	s0,102,m0,27,m1,53,m2,57
0	s0,69,c0,9,c1,27,s1,8,m1,20,m2,106
0	s0,126,m0,12,m1,53,m2,48
0	s0,96,m0,10,m1,58,m2,39,m3,36
0	s0,87,m0,34,m1,84,s1,34
0	s0,97,m0,13,m1,129
0	s0,88,c0,5,m0,3,m1,23,m2,19,m3,101
0	s0,239
0	s0,63,m0,8,m1,89,m2,79
0	s0,146,m0,7,m1,16,m2,70
0	s0,121,s1,118
0	s0,116,m0,60,m1,63
0	s0,109,s1,2,m1,128
0	s0,126,m0,63,m1,26,m2,24
0	s0,100,s1,1,m1,27,m2,111
0	s0,126,c0,3,m0,25,m1,53,s1,32
0	s0,118,m0,8,m1,113
0	s0,165,m0,24,m1,50
0	s0,89,m0,37,m1,113
0	s0,211,m0,23,m1,5
0	s0,86,m0,23,m1,130
0	s0,131,m0,22,m1,32,m2,54
0	s0,239
0	s0,156,m0,7,m1,76
0	s0,38,m0,201
0	s0,107,m0,17,m1,30,m2,85
0	s0,66,m0,24,m1,26,m2,49,m3,74
0	s0,94,m0,8,m1,137
0	s0,55,m0,23,m1,161
0	s0,239
0	s0,88,m0,4,m1,50,m2,97
0	s0,109,m0,90,m1,40
0	s0,74,m0,6,m1,48,m2,111
0	s0,239
0	s0,59,s1,180
0	s0,239
0	s0,187,m0,5,m1,20,m2,27
0	s0,108,c0,11,c1,120
0	s0,231,c0,5,m0,3
0	s0,107,s1,7,m1,47,m2,78
0	s0,89,s1,150
0	s0,239
0	s0,93,m0,43,m1,61,m2,42
0	s0,79,m0,9,m1,57,m2,94
0	s0,116,m0,51,m1,67,m2,5
0	s0,174,m0,16,m1,25,m2,24
0	s0,70,m0,34,m1,135
0	s0,41,m0,156,m1,42
0	s0,121,m0,13,m1,26,m2,79
0	s0,149,c0,54,s0,36
0	s0,106,c0,4,m0,13,m1,95,m2,21
0	s0,182,m0,6,m1,51
0	s0,46,m0,14,m1,38,m2,54,m3,11,m4,76
0	s0,159,m0,9,m1,70,m2,1
0	s0,76,m0,5,m1,109,m2,49
0	s0,139,m0,18,m1,42,m2,40
0	s0,110,m0,34,m1,63,m2,32
0	s0,76,m0,8,m1,48,m2,107
0	s0,43,m0,11,m1,31,m2,89,s2,18,s3,47
0	s0,103,m0,14,m1,122
0	s0,98,c0,28,m0,28,m1,21,m2,64
0	s0,79,m0,24,m1,128,m2,8
0	s0,187,c0,21,s0,31
0	s0,98,s1,31,m1,15,m2,2,s2,37,c2,2,m2,8,m4,30,s4,16
0	s0,96,m0,10,m1,88,m2,25,m3,20
0	s0,61,m0,27,m1,26,m2,70,m3,55
0	s0,108,m0,35,m1,96
0	s0,239
1	s0,239
1	s0,81,m0,26,m1,18,m2,114
1	s0,132,m0,6,m1,46,m2,55
1	s0,222,m0,17
1	s0,158,c0,81
1	s0,48,s1,12,m1,6,m2,109,s2,26,c2,38
1	s0,86,m0,11,m1,65,s1,77
1	s0,239
1	s0,116,s1,123
1	s0,99,m0,28,m1,112
1	s0,71,m0,10,m1,108,s1,48,c1,2
1	s0,61,c0,17,m0,8,m1,43,m2,110
1	s0,128,c0,14,s0,9,s1,88
1	s0,40,m0,14,m1,23,m2,162
1	s0,84,m0,7,m1,42,m2,34,s2,72
1	s0,118,m0,25,m1,34,m2,62
1	s0,119,m0,20,m1,100
1	s0,23,s1,28,s2,1,m2,89,m3,71,s3,27
1	s0,108,s1,60,m1,71
1	s0,69,s1,57,m1,113
1	s0,57,c0,32,s0,118,c0,32
1	s0,77,m0,3,m1,13,m2,146
1	s0,57,m0,5,m1,32,m2,145
1	s0,94,m0,32,m1,29,m2,84
1	s0,54,m0,26,m1,124,s1,35
1	s0,239
1	s0,142,s1,5,m1,86,m2,6
1	s0,85,s1,5,c1,59,m1,28,m2,62
1	s0,239
1	s0,68,m0,10,m1,29,m2,132
1	s0,93,m0,5,m1,141
1	s0,92,c0,11,m0,11,m1,27,m2,56,m3,42
1	s0,50,m0,19,m1,170
1	s0,93,c0,10,c1,32,c2,104
1	s0,110,m0,6,m1,46,m2,77
1	s0,90,c0,1,m0,6,m1,88,m2,53,s2,1
1	s0,68,m0,14,m1,157
1	s0,113,m0,11,m1,115
1	s0,58,m0,6,m1,175
1	s0,239
1	s0,54,s1,4,c1,11,c2,45,c3,38,c4,87
1	s0,40,m0,8,m1,13,m2,178
1	s0,190,c0,27,m0,4,m1,18
1	s0,39,m0,14,m1,158,s1,24,c1,4
1	s0,65,m0,21,m1,43,m2,110
1	s0,53,s1,2,m1,14,m2,170
1	s0,54,m0,25,m1,160
1	s0,120,m0,21,m1,98
1	s0,34,s1,1,c1,7,m1,33,s1,164
1	s0,45,m0,14,m1,68,s1,35,s2,77
1	s0,118,m0,3,m1,41,m2,77
1	s0,121,m0,21,m1,97
1	s0,92,m0,45,m1,62,m2,40
1	s0,157,m0,19,m1,63
1	s0,74,m0,84,m1,81
1	s0,58,s1,11,c1,2,m1,28,m2,140
1	s0,105,c0,1,m0,18,m1,115
1	s0,55,m0,47,m1,24,m2,113
1	s0,239
1	s0,64,s1,14,m1,44,m2,117
1	s0,119,m0,24,m1,80,m2,16
1	s0,239
1	s0,165,m0,10,m1,64
1	s0,23,m0,69,m1,37,m2,110
1	s0,64,m0,10,m1,165
1	s0,54,m0,10,m1,175
1	s0,140,m0,27,m1,72
1	s0,80,m0,6,m1,62,m2,25,s2,66
1	s0,239
1	s0,239
1	s0,48,m0,6,m1,24,m2,161
1	s0,39,s1,5,m1,85,s1,110
1	s0,62,m0,4,m1,72,s1,101
1	s0,68,c0,2,m0,20,m1,29,m2,120
1	s0,239
1	s0,48,m0,24,m1,167
1	s0,75,m0,1,m1,49,m2,114
1	s0,32,s1,33,c1,10,m1,8,m2,140,s2,16
1	s0,117,m0,10,m1,112
1	s0,195,m0,16,m1,28
1	s0,239
1	s0,239
1	s0,58,s1,43,s2,101,s3,18,s4,19
1	s0,67,c0,13,m0,16,m1,69,s1,74
1	s0,165,c0,2,m0,8,m1,21,m2,43
1	s0,186,s1,53
1	s0,108,s1,23,s2,36,s3,72
1	s0,98,m0,8,m1,39,m2,94
1	s0,83,m0,36,m1,120
1	s0,91,c0,1,m0,6,m1,32,m2,109
1	s0,239
1	s0,38,m0,17,m1,19,m2,29,m3,136
1	s0,127,c0,10,m0,69,m1,22,m2,11
1	s0,95,m0,6,m1,22,m2,16,m3,46,m4,54
1	s0,86,m0,153
1	s0,120,m0,119
1	s0,82,m0,15,s0,10,m0,30,m1,102
1	s0,130,m0,8,m1,65,s1,31,m1,5
1	s0,72,s1,167
1	s0,57,c0,17,s0,165
1	s0,116,m0,20,m1,52,m2,35,m3,16
1	s0,143,c0,9,m0,5,m1,26,m2,56
1	s0,80,c0,2,m0,6,m1,34,m2,117
1	s0,239
1	s0,239
1	s0,239
1	s0,72,m0,29,m1,25,m2,80,m3,33
1	s0,82,m0,31,m1,45,m2,67,s2,14
1	s0,45,m0,52,m1,142
1	s0,183,c0,56
1	s0,72,m0,12,m1,111,s1,44
1	s0,79,c0,5,m0,15,m1,109,m2,31
1	s0,56,c0,19,c1,25,m1,1,m2,138
1	s0,143,m0,12,m1,84
1	s0,50,m0,8,m1,181
1	s0,157,c0,82
1	s0,66,m0,6,m1,109,m2,58
1	s0,102,m0,14,m1,23,m2,100
1	s0,67,m0,7,m1,54,m2,111
1	s0,55,c0,12,m0,3,m1,7,s1,30,c1,2,m1,12,m2,90,s2,28
1	s0,39,c0,200
1	s0,109,c0,19,m0,6,m1,74,m2,31
1	s0,77,m0,4,m1,65,m2,93
1	s0,87,s1,74,c1,22,c2,56
1	s0,69,c0,2,m0,13,m1,63,m2,21,m3,71
1	s0,166,m0,18,m1,35,m2,20
1	s0,171,c0,6,m0,6,m1,56
1	s0,55,m0,18,m1,17,m2,49,m3,100
1	s0,83,m0,5,m1,28,m2,123
1	s0,163,c0,18,c1,58
1	s0,123,c0,10,c1,11,c2,94,c3,1
1	s0,95,m0,6,m1,57,m2,81
1	s0,115,m0,4,m1,31,m2,31,m3,58
1	s0,180,m0,6,m1,45,m2,8
1	s0,239
1	s0,33,m0,8,m1,113,s1,26,c1,5,m1,2,m2,52
1	s0,94,m0,14,m1,131
1	s0,239
1	s0,118,m0,121
1	s0,26,m0,19,m1,13,m2,181
1	s0,110,m0,2,m1,127
1	s0,80,m0,1,m1,28,m2,63,m3,67
1	s0,65,c0,45,m0,21,s0,12,c0,5,m0,6,m1,85
1	s0,153,m0,27,m1,39,m2,20
1	s0,57,m0,2,s0,8,s1,17,m1,20,m2,59,m3,76
1	s0,104,m0,10,m1,43,m2,82
1	s0,156,m0,10,m1,67,m2,6
1	s0,12,m0,84,m1,79,m2,64
1	s0,76,m0,9,m1,92,m2,62
1	s0,47,c0,2,m0,16,m1,26,s1,45,c1,103
1	s0,184,c0,5,m0,5,m1,45
1	s0,111,m0,40,m1,72,s1,6,m1,10
1	s0,44,c0,6,m0,15,m1,60,m2,77,s2,37
1	s0,37,m0,23,m1,18,m2,21,m3,140
1	s0,54,m0,54,m1,22,s1,109
1	s0,71,m0,5,m1,41,m2,30,s2,16,s3,76
1	s0,135,m0,104
1	s0,239
1	s0,152,s1,11,c1,1,m1,75
1	s0,104,c0,13,m0,24,m1,98
1	s0,98,m0,20,m1,121
1	s0,66,m0,10,m1,20,m2,143
1	s0,93,m0,34,m1,112
1	s0,63,m0,6,m1,164,s1,6
1	s0,214,m0,25
1	s0,239
1	s0,59,m0,33,m1,57,m2,90
1	s0,116,c0,3,m0,120
1	s0,79,m0,19,m1,141
1	s0,43,m0,14,m1,88,m2,94
1	s0,69,m0,20,m1,45,m2,66,s2,39
1	s0,119,m0,22,m1,98
1	s0,113,m0,17,m1,35,s1,74
1	s0,140,c0,2,m0,12,m1,32,m2,53
1	s0,45,c0,37,m0,32,m1,15,m2,110
1	s0,51,m0,12,m1,27,m2,149
1	s0,72,m0,15,m1,92,m2,60
1	s0,107,c0,33,c1,14,s1,85
1	s0,193,c0,46
1	s0,239
1	s0,60,m0,18,m1,15,m2,114,m3,32
1	s0,56,m0,8,m1,34,m2,141
1	s0,47,m0,5,m1,37,m2,28,m3,22,m4,100
1	s0,83,c0,56,s0,3,s1,97
1	s0,106,m0,26,m1,57,s1,50
1	s0,150,c0,4,m0,85
1	s0,96,m0,105,s0,38
1	s0,61,m0,3,m1,44,m2,24,m3,107
1	s0,239
1	s0,97,m0,13,m1,17,m2,112
1	s0,69,m0,11,m1,21,m2,138
1	s0,56,m0,8,m1,94,m2,81
1	s0,106,s1,8,m1,28,m2,97
1	s0,67,m0,10,m1,40,m2,122
1	s0,106,s1,77,c1,9,m1,47
1	s0,73,m0,8,m1,158
1	s0,83,c0,2,m0,39,m1,51,m2,64
1	s0,52,s1,15,m1,15,m2,19,m4,1,s4,137
1	s0,91,m0,25,m1,73,m2,50
1	s0,142,c0,13,m0,5,m1,21,m2,58
1	s0,171,m0,7,m1,61
1	s0,153,c0,1,m0,10,m1,25,m2,50
1	s0,205,c0,12,c1,22
1	s0,239
1	s0,239
1	s0,97,c0,1,m0,8,m1,47,m2,86
1	s0,66,m0,7,m1,13,m2,153
1	s0,65,m0,15,m1,14,m2,145
1	s0,136,m0,6,m1,39,m2,58
1	s0,57,m0,32,m1,32,s1,118
1	s0,124,c0,5,m0,13,m1,24,m2,53,m3,20
1	s0,239
1	s0,85,c0,1,m0,8,m1,106,s1,39
1	s0,97,m0,29,m1,113
1	s0,71,c0,3,m0,4,m1,42,m2,12,m3,107
1	s0,223,s1,16
1	s0,67,c0,1,m0,33,m1,43,m2,95
1	s0,196,s1,43
1	s0,65,m0,10,m1,97,m2,67
1	s0,211,c0,19,m0,9
1	s0,90,c0,14,m0,8,m1,127
1	s0,105,m0,21,m1,28,m2,85
1	s0,77,c0,2,m0,10,m1,42,m2,11,s2,97
1	s0,147,m0,5,m1,87
1	s0,111,m0,10,m1,72,m2,46
1	s0,51,m0,33,m1,65,m2,90
1	s0,50,m0,9,m1,93,s1,87
1	s0,239
1	s0,174,m0,65
1	s0,59,m0,95,m1,85
1	s0,239
1	s0,85,m0,18,m1,136
1	s0,55,m0,37,m1,31,m2,116
1	s0,78,s1,72,c1,7,m1,82
1	s0,124,m0,11,m1,28,m2,76
1	s0,66,m0,39,m1,23,m2,111
1	s0,108,c0,2,m0,9,m1,98,s1,22
1	s0,102,m0,39,s0,98
1	s0,80,m0,3,m1,156
1	s0,239
1	s0,88,s1,1,c1,1,m1,75,s1,74
1	s0,101,s1,22,m1,15,m2,101
1	s0,179,c0,11,m0,9,m1,40
1	s0,117,m0,12,m1,110
1	s0,61,m0,24,m1,43,m2,111
1	s0,76,m0,14,m1,149
1	s0,88,c0,15,m0,12,m1,54,m2,70
1	s0,113,s1,30,c1,20,c2,8,s2,59,c2,9
1	s0,56,m0,10,m1,173
1	s0,99,c0,21,c1,119
